epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.864,0.97827,0.85385,1.13775,0.82424,0.83864,0.89153,0.59469,1.13582,0.83872,1.24219,0.000407197,0.000407197,0.000407197
2,333.61,1.02976,0.87624,1.1353,0.87093,0.79772,0.88808,0.58841,1.14781,0.86865,1.25339,0.000783082,0.000783082,0.000783082
3,455.458,1.04082,0.91218,1.15467,0.82177,0.81589,0.86878,0.54631,1.18607,0.9978,1.29291,0.00111772,0.00111772,0.00111772
4,579.429,1.07615,0.94096,1.18213,0.82395,0.7613,0.84153,0.52544,1.25654,0.9708,1.34261,0.00106437,0.00106437,0.00106437
5,710.259,1.07923,0.94203,1.16822,0.79763,0.79274,0.84043,0.54087,1.22094,0.93527,1.32417,0.0010025,0.0010025,0.0010025
6,837.755,1.05194,0.91496,1.15826,0.81176,0.79179,0.8584,0.54885,1.23396,0.94756,1.34317,0.000940625,0.000940625,0.000940625
7,968.687,1.05845,0.89492,1.15518,0.84631,0.77502,0.85734,0.53489,1.29079,0.98827,1.39318,0.00087875,0.00087875,0.00087875
8,1094.57,1.07069,0.8955,1.17038,0.8273,0.79202,0.86648,0.56934,1.16672,0.90416,1.27711,0.000816875,0.000816875,0.000816875
9,1223.54,1.0297,0.86806,1.15641,0.80678,0.80722,0.86252,0.57552,1.17209,0.88935,1.28867,0.000755,0.000755,0.000755
10,1348.87,1.02339,0.89102,1.15248,0.84103,0.79401,0.87325,0.58196,1.15028,0.85248,1.24793,0.000693125,0.000693125,0.000693125
11,1471.13,0.98035,0.74582,1.10837,0.87866,0.79976,0.87893,0.5753,1.19263,0.88157,1.29627,0.00063125,0.00063125,0.00063125
12,1593.39,0.96697,0.73159,1.11413,0.90193,0.82452,0.89916,0.60845,1.11893,0.79809,1.23888,0.000569375,0.000569375,0.000569375
13,1721.53,0.96259,0.69921,1.10515,0.85896,0.84955,0.90026,0.62117,1.09525,0.79553,1.23553,0.0005075,0.0005075,0.0005075
14,1849.48,0.91975,0.67838,1.08248,0.85435,0.86745,0.90792,0.62615,1.07652,0.76487,1.22145,0.000445625,0.000445625,0.000445625
15,1974.19,0.91976,0.66078,1.09407,0.86701,0.83985,0.90594,0.62184,1.09259,0.75894,1.22341,0.00038375,0.00038375,0.00038375
16,2098.94,0.89234,0.6205,1.06516,0.91277,0.83927,0.92039,0.63173,1.09467,0.7325,1.23782,0.000321875,0.000321875,0.000321875
17,2223.22,0.87671,0.61295,1.0554,0.90696,0.87015,0.91597,0.63606,1.06262,0.73042,1.2174,0.00026,0.00026,0.00026
18,2347.94,0.86967,0.59906,1.04747,0.88016,0.86064,0.91762,0.6364,1.06851,0.7294,1.21149,0.000198125,0.000198125,0.000198125
19,2476.2,0.85639,0.59157,1.04942,0.90314,0.86555,0.91935,0.64101,1.04442,0.71293,1.20384,0.00013625,0.00013625,0.00013625
20,2600.5,0.83779,0.5846,1.0378,0.90926,0.85076,0.92031,0.64378,1.04527,0.69776,1.20458,7.4375e-05,7.4375e-05,7.4375e-05
